audit_id,status,template_file,template_tier,template_agent_name,book_chapter,book_agent_name,category,severity,summary,detail,disposition,implementing_surface,verified_on
TA-001,CHANGED,universal/orchestrator.template.md,universal,Orchestrator,Ch 5,Orchestrator,rule-generalization,low,Template generalizes numbered workflow catalog,Book describes 10 numbered workflows and a domain agent routing table. Template parameterizes these as project-configurable. Tools list adds 'todo' and 'agent' not explicitly named in chapter.,unreviewed,,
TA-002,CHANGED,universal/navigator.template.md,universal,Navigator,Ch 6,Navigator,name-generalization,low,Template adds team topology graph; generalizes dependency matrix,Book: 'chapter dependency matrix'. Template: 'component dependencies' + pipeline-graph.md team topology. Functionally equivalent with generalized naming.,unreviewed,,
TA-003,CHANGED,universal/security.template.md,universal,Security,Ch 7,Security Agent,rule-count-mismatch,low,Template ships 9 security rules; book chapter documents 6 (both sets have since diverged in meaning),"Book Ch 7 documents S-1 through S-6. The template now defines S-1 through S-9, adding Content Injection Guard (S-5), Reviewed Content Isolation (S-6), Scope Limitation (S-7), No Machine-Specific Information (S-8) and Pathway Safety Verification (S-9). The numbering also diverged: the book's original S-5 (path sanitization) and S-6 (local credential handling) were absorbed into S-8 and S-1 respectively, freeing those positions for the injection-defense pair. Ch 7 and Ch 14 were corrected 2026-07-29 to the project agent's S-1..S-8; S-9 remains template-only and is deliberately not attributed to the book project.",superseded,agentteams/templates/universal/security.template.md,2026-07-29
TA-004,CHANGED,universal/code-hygiene.template.md,universal,Code Hygiene,Ch 8,Code-Hygiene Agent,scope-redesign,high,Rule set completely redesigned; technical accuracy split to technical-validator,"Book: 16 rules (CH-01 through CH-16) focused on technical accuracy (source fidelity, excerpt accuracy, pipeline descriptions, directory claims, etc.), cross-references, consistency, and formatting. Template: 20 rules (CH-01 through CH-20) focused on file hygiene, script lifecycle, anti-sprawl, modularity, imports, and code quality. The book's technical accuracy auditing (CH-01 through CH-08) has been moved to the new domain agent technical-validator. This is the largest structural divergence in the audit.",unreviewed,,
TA-005,CHANGED,universal/conflict-auditor.template.md,universal,Conflict Auditor,Ch 9,Conflict Auditor,code-rename + routing-change,medium,Two conflict codes renamed; routing adds direct delegation,Book categories CITATION_MISSING (CM) and CITATION_MISMATCH (CX) renamed to REFERENCE_MISSING (RM) and REFERENCE_MISMATCH (RX) in template (consistent with reference-manager generalization). Template routes RM/RX directly to @reference-manager and SOURCE_DRIFT to @technical-validator. Book routes all conflicts through conflict-resolution.,unreviewed,,
TA-006,CHANGED,universal/conflict-resolution.template.md,universal,Conflict Resolution,Ch 10,Conflict-Resolution Agent,detail-expansion,low,Template adds per-code decision rules,Book describes general ACCEPT/REJECT/REVISE framework with authority hierarchy. Template adds explicit decision rules per conflict code (e.g. TM→use highest-authority term; CC→accept higher-authority claim; AE→verify against external source).,unreviewed,,
TA-007,CHANGED,universal/adversarial.template.md,universal,Adversarial,Ch 11,Adversarial Agent,category-reduction,high,8 presupposition categories reduced to 6; classification system redesigned,"Book: 8 categories (DATA_STATE, SYSTEM_STATE, CAUSAL_CLAIM, SCOPE_BOUNDARY, TEMPORAL, BEHAVIORAL, IDENTITY, POLICY). Template: 6 categories (Empirical, Logical, Behavioral, Scope, Temporal, Causal). Dropped IDENTITY and POLICY. Added 'Logical' (not in book). Merged DATA_STATE/SYSTEM_STATE into 'Empirical'. Renamed remaining categories. Template uses simpler 4-question falsification; book describes per-category validation requirements.",unreviewed,,
TA-008,CHANGED,universal/agent-updater.template.md,universal,Agent Updater,Ch 12,Agent Updater,detail-expansion,low,Template adds PII scan and placeholder resolution,"Both share change-to-agent impact matrix, invariant core preservation, living-document policy. Template adds security scans for PII and unresolved placeholders (generic concerns for template instantiation).",unreviewed,,
TA-009,CHANGED,universal/agent-refactor.template.md,universal,Agent Refactor,Ch 13,Agent Refactorer,spec-shift,medium,Template emphasizes YAML frontmatter compliance; book emphasizes violation codes,"Book: 4-condition extraction test, 10 violation codes (AR-01 through AR-10), economics of extraction. Template: YAML frontmatter compliance (6 fields), slug resolution, handoff completeness. Template drops violation codes in favor of spec-field validation.",unreviewed,,
TA-010,MATCHED,universal/cleanup.template.md,universal,Cleanup,Ch 14,Cleanup Agent,no-change,low,Essentially consistent,"Both implement 4-gate safety architecture, protected-file categories, security clearance requirement. Template parameterizes protected paths with placeholders.",unreviewed,,
