module,symbol,kind,sensitivity_test,negative_control_test,reason
agentteams/cli/security_gate.py,_assert_destructive_action_allowed,verifier,tests/test_build_team_security_gates.py::test_gate_blocks_halt_verdict,tests/test_build_team_security_gates.py::test_gate_allows_verified_conditional_pass,"C-2/C-5 destructive-action gate. Sensitivity: a HALT row blocks. Negative control: a verified conditional PASS does not."
agentteams/cli/security_gate.py,_assert_intelligence_digest_matches,verifier,tests/test_security_intel_digest.py::test_relabelling_a_payload_is_now_detected,tests/test_security_intel_digest.py::test_the_producer_emits_a_digest_the_verifier_accepts,"W10/A10 payload-digest binding. This is the verifier that shipped hashing five keys the producer never emitted, so digest(payload)==digest({}) for every input."
agentteams/cli/security_gate.py,_assert_security_intelligence_fresh,verifier,tests/test_build_team_security_gates.py::test_security_intelligence_freshness_blocks_stale_payload,tests/test_build_team_security_gates.py::test_security_intelligence_freshness_consumes_signed_waiver,"Threat-intel freshness gate. Sensitivity: a stale payload blocks. Negative control: a signed waiver passes it without the gate mis-firing."
agentteams/cli/security_gate.py,check_clearance,verifier,tests/test_redteam_verifiers.py::test_check_clearance_reflects_a_halt,tests/test_redteam_verifiers.py::test_check_clearance_does_not_consume_the_clearance,"W15 non-consuming inspector. Had NO test before this audit: the negative control is the property it exists for - inspecting must not spend the clearance."
agentteams/cli/security_gate.py,security_intelligence_digest,verifier,tests/test_security_intel_digest.py::test_the_digest_actually_depends_on_the_payload,tests/test_security_intel_digest.py::test_changing_a_non_intel_value_does_not_change_the_digest,"The textbook pair, and the one F-1 is named after: output changes for relevant input, does not change for irrelevant input."
agentteams/cli/security_gate.py,verify_waivers,verifier,tests/test_build_team_security_gates.py::test_verify_waivers_flags_bad_signature,tests/test_build_team_security_gates.py::test_verify_waivers_reports_valid_and_never_consumes,"Waiver inspection. Negative control also pins the never-consumes property."
agentteams/integrity.py,verify,verifier,tests/test_redteam_verifiers.py::test_integrity_verify_detects_a_modified_module,tests/test_redteam_verifiers.py::test_integrity_verify_ignores_an_unrelated_file,"Enforcement-module hash manifest. Had NO direct test before this audit - the control over every other control was itself unverified."
agentteams/integrity.py,_digest,not-a-verifier,,,"A one-line SHA-256 of a file's bytes. It computes a value; it never compares one against an expectation, so there is no pass/fail behaviour to be sensitive to. The comparison lives in integrity.verify, which is registered above."
agentteams/scan.py,_check_injection,verifier,tests/test_redteam_verifiers.py::test_scan_check_injection_flags_an_override,tests/test_redteam_verifiers.py::test_scan_check_injection_ignores_ordinary_prose,"C-4 Rule S-5 literal instruction-override detector. Exercised only through scan_content before this audit, so a regression in the helper could be masked by a change in its caller."
agentteams/scan.py,_check_line,verifier,tests/test_redteam_verifiers.py::test_scan_check_line_flags_a_credential,tests/test_redteam_verifiers.py::test_scan_check_line_ignores_clean_prose,"Per-line PII/credential/placeholder detector. Same masking risk as _check_injection: tested only via the public path."
agentteams/redteam/registry.py,evidence_digest,verifier,tests/test_redteam_verifiers.py::test_evidence_digest_changes_with_the_evidence,tests/test_redteam_verifiers.py::test_evidence_digest_ignores_run_to_run_noise,"F-5's normalisation is load-bearing: without it, temp paths and timestamps change every run, the check fires on all 38 probes nightly, and a check that always fires gets muted."
agentteams/redteam/corpus.py,verify_corpus,verifier,tests/test_redteam_verifiers.py::test_verify_corpus_flags_a_wrong_scanner_claim,tests/test_redteam_verifiers.py::test_verify_corpus_accepts_a_correct_claim,"Checks each payload's scanner_matches claim against the live scanner rather than trusting it."
agentteams/redteam/realcopy.py,_digest,not-a-verifier,,,"A SHA-256 of a file's bytes returning None when absent. It computes; the comparison that decides RESTORED/PRESERVED/REFUSED lives in classify_restorability, which is not verifier-shaped by name but is covered by tests/test_redteam_engine.py::test_restorability_classifies_a_surviving_mutation_as_preserved."
agentteams/redteam/checks_static.py,check_verifier_sensitivity,verifier,tests/test_redteam_selfaudit.py::test_f1_fires_on_an_unregistered_verifier,tests/test_redteam_selfaudit.py::test_f1_is_silent_on_a_complete_ledger,"F-1 itself. A self-audit check that cannot fail is the defect it was written to catch."
agentteams/redteam/checks_static.py,check_callpath_parity,verifier,tests/test_redteam_selfaudit.py::test_f2_fires_on_an_unguarded_call_site,tests/test_redteam_selfaudit.py::test_f2_is_silent_when_every_path_is_guarded,"F-2 itself, including the anti-vacuity branch for a rule covering fewer than two call sites."
agentteams/redteam/checks_static.py,check_canonical_resolution,verifier,tests/test_redteam_selfaudit.py::test_f3_fires_on_a_hand_rolled_workspace_sweep,tests/test_redteam_selfaudit.py::test_f3_is_silent_on_canonical_calls,"F-3 itself - the highest-value structural check per the handoff."
agentteams/redteam/checks_report.py,check_counts_have_population,verifier,tests/test_redteam_selfaudit.py::test_f4_fires_on_a_count_without_a_denominator,tests/test_redteam_selfaudit.py::test_f4_is_silent_on_a_counts_table,"F-4 itself. The fires-test uses the literal 2026-08-06 sentence that hid 719 exposed agents."
agentteams/redteam/checks_report.py,check_probe_intent,verifier,tests/test_redteam_selfaudit.py::test_f5_fires_when_a_probe_outcome_flips,tests/test_redteam_selfaudit.py::test_f5_is_silent_when_nothing_changed,"F-5 itself."
