phase_id,step_id,phase_name,step_title,description,deliverable,dependencies,priority,effort,notes,status
1,1.1,Schema & Pipeline — docs_url field,Add docs_url to project-description schema,"Add an optional 'docs_url' field (type: string, format: uri) to the 'tools' items object in schemas/project-description.schema.json. Place it after 'config_files'. Description: 'Official documentation URL for this tool (e.g., https://nodejs.org/docs/latest-v20.x/api/index.html). Used as {TOOL_DOCS_URL} in generated agent files.'",schemas/project-description.schema.json (updated tools items),None,P0,XS,This is the input contract change that enables all downstream work.,not-started
1,1.2,Schema & Pipeline — docs_url field,Add docs_url to team-manifest schema,"Add 'docs_url' field to both tool_agents items and reference_tools items in schemas/team-manifest.schema.json. Type: string. Description: 'Official documentation URL carried through from the project description.'",schemas/team-manifest.schema.json (updated),1.1,P0,XS,Manifest must mirror the new field so render.py can consume it.,not-started
1,1.3,Schema & Pipeline — docs_url field,Extract docs_url in detect_tool_agents(),"In src/analyze.py detect_tool_agents(), add 'docs_url': tool.get('docs_url', '') to the returned dict for each specialist-tier tool. Insert after 'invocation_target' key.",src/analyze.py (detect_tool_agents updated),1.1,P0,XS,One-line addition per tool agent dict.,not-started
1,1.4,Schema & Pipeline — docs_url field,Extract docs_url in detect_reference_tools(),"In src/analyze.py detect_reference_tools(), add 'docs_url': tool.get('docs_url', '') to the returned dict for each reference-tier tool. Insert after 'config_files' key.",src/analyze.py (detect_reference_tools updated),1.1,P0,XS,One-line addition per reference tool dict.,not-started
1,1.5,Schema & Pipeline — docs_url field,Map TOOL_DOCS_URL in _tool_placeholder_map(),"In src/render.py _tool_placeholder_map(), add 'TOOL_DOCS_URL': tool_agent.get('docs_url', '{MANUAL:TOOL_DOCS_URL}') to the returned dict. When docs_url is empty string, fall back to the MANUAL placeholder so the user is prompted to fill it.",src/render.py (_tool_placeholder_map updated),1.3,P0,XS,"If tool.get('docs_url') is truthy, use it; otherwise emit {MANUAL:TOOL_DOCS_URL}.",not-started
1,1.6,Schema & Pipeline — docs_url field,Map TOOL_DOCS_URL in _reference_tool_placeholder_map(),"In src/render.py _reference_tool_placeholder_map(), add 'TOOL_DOCS_URL': ref_tool.get('docs_url', '{MANUAL:TOOL_DOCS_URL}') to the returned dict. Same fallback logic as step 1.5.",src/render.py (_reference_tool_placeholder_map updated),1.4,P0,XS,Mirrors step 1.5 for the reference tier.,not-started
1,1.7,Schema & Pipeline — docs_url field,Update PLACEHOLDER-CONVENTIONS.md,"Add TOOL_DOCS_URL to the Auto-Resolved Placeholders list in templates/PLACEHOLDER-CONVENTIONS.md with description: 'Official documentation URL for the tool (from brief.json tools[].docs_url)'. Add MANUAL:TOOL_DOCS_URL to the Manual-Required Placeholders list with description: 'Documentation URL when not provided in tools[].docs_url'. Also add MANUAL:TOOL_API_SURFACE and MANUAL:TOOL_COMMON_PATTERNS.",templates/PLACEHOLDER-CONVENTIONS.md (updated),1.5,P0,XS,Documents the new placeholders for template authors.,not-started
2,2.1,Template Enrichment — Tool Specialist,Add Official Documentation section to tool-specific.template.md,"Insert a new '## Official Documentation' section after the Tool/Configuration/Invocation target block in templates/domain/tool-specific.template.md. Content: 'Consult the official {TOOL_NAME} documentation at: {TOOL_DOCS_URL}'. Include instruction: 'Always verify configuration options, API signatures, and version-specific behavior against this documentation before making changes.'",templates/domain/tool-specific.template.md (updated),1.5,P0,S,This is the generic fallback template — all specialist agents without a category-specific template use it.,not-started
2,2.2,Template Enrichment — Tool Specialist,Add Key API Surface section to tool-specific.template.md,"Insert a new '## Key API Surface' section after Official Documentation in tool-specific.template.md. Content: '{MANUAL:TOOL_API_SURFACE}'. Include instructional comment: 'Document the primary classes, functions, CLI commands, or configuration keys that this agent must understand to operate {TOOL_NAME} effectively.'",templates/domain/tool-specific.template.md (updated),2.1,P0,S,MANUAL placeholder because API surface is tool-specific and cannot be auto-resolved from a brief.,not-started
2,2.3,Template Enrichment — Tool Specialist,Add Common Patterns & Pitfalls section to tool-specific.template.md,"Insert a new '## Common Patterns & Pitfalls' section after Key API Surface in tool-specific.template.md. Content: '{MANUAL:TOOL_COMMON_PATTERNS}'. Include instructional comment: 'Document common usage patterns, anti-patterns, and version-specific gotchas for {TOOL_NAME} {TOOL_VERSION}.'",templates/domain/tool-specific.template.md (updated),2.2,P0,S,Gives the agent domain-specific knowledge beyond generic operational procedures.,not-started
2,2.4,Template Enrichment — Build System,Add Official Documentation section to tool-build-system.template.md,"Insert '## Official Documentation' section after the Build tool/Configuration files block. Content: 'Consult the official {TOOL_NAME} documentation at: {TOOL_DOCS_URL}'. Include instruction: 'Verify build configuration options, dependency specifications, and plugin APIs against this documentation.'",templates/domain/tool-build-system.template.md (updated),1.5,P0,S,Same pattern as 2.1 but placed in the build-system template context.,not-started
